Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Time in seconds,Image Link,Answer explanation
Các yếu tố nào trong bảng điều khiển Amazon CloudWatch có thể được sử dụng để xem và phân tích các chỉ số?,Multiple Choice,Tiện ích (Widgets),Chỉ số (Metrics),Biểu tượng (Icons),Thành phần (Components),,1,60,,
Các trạng thái có thể có của một cảnh báo chỉ số (metric alarm) trong Amazon CloudWatch là gì?,Multiple Choice,"OK, ALARM, NOT_AVAILABLE","OK, ALERT, INSUFFICIENT_DATA","OK, ALARM, INSUFFICIENT_DATA","OK, ALERT, NOT_AVAILABLE",,3,60,,
Một công ty có thể thu thập loại dữ liệu nào với VPC Flow Logs?,Multiple Choice,Dữ liệu về lưu lượng mạng đi vào và ra khỏi một đám mây riêng ảo (VPC),Hoạt động độc hại và hành vi trái phép,Cấu hình của các tài nguyên AWS,Thông tin liên quan đến tuân thủ,,1,60,,
Lợi ích của việc giám sát trên AWS là gì?,Multiple Choice,Giám sát tạo ra chi phí vận hành.,Giám sát nhận ra các mối đe dọa và sự kiện bảo mật.,Giám sát làm giảm hiệu suất và độ tin cậy của tài nguyên.,Giám sát tăng tốc độ và sự linh hoạt,,2,60,,
"Đúng hay Sai: Khi một công ty thiết kế lại một ứng dụng bằng cách sử dụng một dịch vụ serverless trên AWS, họ có thể không cần phải cấu hình các thành phần mạng, chẳng hạn như đám mây riêng ảo (VPC), mạng con và các nhóm bảo mật.",Multiple Choice,Đúng,Sai,,,,1,60,,
"Phát biểu nào mô tả ĐÚNG NHẤT mối quan hệ giữa các Vùng (Regions), Vùng sẵn sàng (Availability Zones) và các trung tâm dữ liệu?",Multiple Choice,Vùng sẵn sàng là các cụm Vùng. Vùng là các cụm trung tâm dữ liệu.,Trung tâm dữ liệu là cụm của các Vùng sẵn sàng. Vùng là các cụm của các Vùng sẵn sàng.,Vùng là các cụm của các Vùng sẵn sàng. Vùng sẵn sàng là các cụm của các trung tâm dữ liệu.,Trung tâm dữ liệu là các cụm Vùng. Vùng là các cụm của các Vùng sẵn sàng.,,3,60,,
"Một kiến trúc sư giải pháp đang tư vấn cho một công ty. Khi người dùng trong công ty xác thực vào mạng công ty, họ muốn có thể sử dụng AWS mà không cần phải đăng nhập lại. Kiến trúc sư giải pháp nên đề xuất danh tính AWS nào cho trường hợp sử dụng này?",Multiple Choice,Người dùng gốc của tài khoản AWS,Người dùng AWS Identity and Access Management (IAM),Vai trò IAM (IAM Role),Nhóm IAM (IAM Group),,3,60,,
Loại instance của Amazon Elastic Compute Cloud (Amazon EC2) cho biết điều gì?,Multiple Choice,Họ instance và kích thước instance,Vị trí instance và kích thước instance,Hình thức thuê instance và thanh toán instance,Amazon Machine Image (AMI) của instance và tốc độ mạng,,1,60,,
Trường hợp sử dụng điển hình cho Amazon Simple Storage Service (Amazon S3) là gì?,Multiple Choice,Lưu trữ đối tượng để lưu trữ media,Lưu trữ đối tượng cho một ổ đĩa khởi động,Lưu trữ khối cho một instance EC2,Lưu trữ tệp cho nhiều instance EC2,,1,60,,
"Một kiến trúc sư giải pháp đang làm việc cho một cơ sở chăm sóc sức khỏe, và họ được giao nhiệm vụ lưu trữ thông tin bệnh nhân trong 7 năm mà hiếm khi được truy cập. Giám đốc CNTT của cơ sở yêu cầu kiến trúc sư giải pháp xem xét một trong các bậc lưu trữ của Amazon Simple Storage Service (Amazon S3) để lưu trữ thông tin bệnh nhân. Kiến trúc sư giải pháp nên đề xuất bậc lưu trữ nào?",Multiple Choice,Amazon S3 Standard,Amazon S3 Glacier Deep Archive,Amazon S3 Standard-Infrequent Access,Amazon S3 Intelligent-Tiering,,2,60,,
Nhiệm vụ nào trong việc chạy và vận hành cơ sở dữ liệu mà người dùng chịu trách nhiệm khi họ sử dụng Amazon Relational Database Service (Amazon RDS)?,Multiple Choice,Tối ưu hóa cơ sở dữ liệu,Cấp phát và quản lý cơ sở hạ tầng cơ bản,Cài đặt hệ quản trị cơ sở dữ liệu quan hệ trên instance cơ sở dữ liệu,Cài đặt các bản vá cho hệ điều hành cho instance cơ sở dữ liệu,,1,60,,
Đúng hay Sai: Việc triển khai Đa Vùng sẵn sàng (Multi-AZ) có lợi khi người dùng muốn tăng tính sẵn sàng của cơ sở dữ liệu của họ.,Multiple Choice,Đúng,Sai,,,,1,60,,
"Một kiến trúc sư giải pháp phải thiết kế một giải pháp để giúp quản lý các ứng dụng được container hóa của khách hàng. Hiện tại, khối lượng công việc của khách hàng chạy trong các container Docker trên các instance Amazon Elastic Compute Cloud (Amazon EC2) và các máy chủ tại chỗ chạy một cụm Kubernetes lai. Khách hàng muốn di chuyển một phần của việc triển khai Kubernetes lai của họ lên đám mây với nỗ lực tối thiểu, và họ muốn giữ lại tất cả các tính năng gốc của Kubernetes. Khách hàng cũng muốn giảm chi phí vận hành để quản lý cụm Kubernetes của họ. Kiến trúc sư giải pháp nên đề xuất dịch vụ AWS được quản lý nào để đáp ứng tốt nhất các yêu cầu này?",Multiple Choice,AWS Fargate với Amazon Elastic Container Service (Amazon ECS),AWS Fargate với Amazon Elastic Kubernetes Service (Amazon EKS),Amazon Elastic Container Service (Amazon ECS),Amazon Elastic Kubernetes Service (Amazon EKS),,4,60,,
Một ứng dụng cần xử lý các sự kiện được nhận thông qua một API. Nhiều người tiêu dùng phải có thể xử lý dữ liệu đồng thời. Dịch vụ AWS được quản lý nào sẽ đáp ứng tốt nhất yêu cầu này một cách hiệu quả nhất về chi phí?,Multiple Choice,Amazon Simple Notification Service (Amazon SNS) với chiến lược fan-out,Amazon Simple Queue Service (Amazon SQS) với hàng đợi FIFO,Amazon EventBridge với các quy tắc,Amazon Elastic Compute Cloud (Amazon EC2) với các Spot Instances,,1,60,,
"Đúng hay Sai: Amazon Relational Database Service (Amazon RDS) phù hợp hơn cho các cơ sở dữ liệu xử lý dữ liệu có cấu trúc hoặc quan hệ, nơi người dùng có thể tin tưởng vào các tính năng như tự động tăng và nối bảng. Amazon DynamoDB phù hợp hơn cho các khối lượng công việc cơ sở dữ liệu NoSQL, nơi các bảng là tập hợp các mục có các thuộc tính riêng của chúng.",Multiple Choice,Đúng,Sai,,,,1,60,,
"Amazon DynamoDB được thiết kế cho quy mô và hiệu suất. Trong hầu hết các trường hợp, thời gian phản hồi của DynamoDB có thể được đo bằng mili giây một chữ số. Tuy nhiên, có một số trường hợp sử dụng nhất định yêu cầu thời gian phản hồi tính bằng micro giây. Đối với các trường hợp sử dụng này, DynamoDB Accelerator (DAX) cung cấp thời gian phản hồi nhanh để truy cập dữ liệu nhất quán cuối cùng. Phát biểu nào về DAX là đúng? (Chọn BA.)",Checkbox,DAX giảm độ phức tạp vận hành và ứng dụng bằng cách cung cấp một dịch vụ được quản lý tương thích với API DynamoDB.,"Mặc dù sử dụng DAX có chi phí, nó có thể giảm mức tiêu thụ dung lượng bảng DynamoDB. Nếu dữ liệu được đọc nhiều (tức là hàng triệu yêu cầu mỗi giây), DAX có thể giúp tiết kiệm chi phí bằng cách lưu vào bộ đệm dữ liệu đồng thời cung cấp độ trễ đọc tốt hơn, có lợi cho các tình huống cần đọc lặp lại cho các khóa riêng lẻ.",DAX không hỗ trợ mã hóa phía máy chủ (SSE).,DAX không được thiết kế cho các ứng dụng ghi nhiều. Nó cũng có thể làm tăng chi phí cho các ứng dụng không thực hiện nhiều hoạt động đọc.,"DAX không hỗ trợ mã hóa dữ liệu đang truyền, điều đó có nghĩa là giao tiếp giữa một ứng dụng và DAX không thể được mã hóa.","1,2,4",60,,
"Đúng hay Sai: AWS Lambda là một dịch vụ tính toán chạy mã mà không cần cấp phát hoặc quản lý máy chủ. Lambda chạy mã trên một cơ sở hạ tầng tính toán có tính sẵn sàng cao. Nó cũng thực hiện tất cả việc quản trị các tài nguyên tính toán, bao gồm bảo trì máy chủ và hệ điều hành, cấp phát dung lượng và tự động co giãn, và ghi nhật ký. Lambda có thể chạy mã cho hầu như bất kỳ loại ứng dụng hoặc dịch vụ backend nào.",Multiple Choice,Đúng,Sai,,,,1,60,,
Một kiến trúc sư giải pháp đang thiết kế một kiến trúc có thể cung cấp các trang HTML cho khách hàng. Họ muốn một giải pháp serverless có thể lưu trữ nội dung qua internet và phục vụ một trang web tĩnh với nỗ lực tối thiểu. Kiến trúc sư giải pháp nên chọn dịch vụ AWS nào để đáp ứng các yêu cầu này?,Multiple Choice,Amazon Simple Storage Service (Amazon S3),Amazon Elastic Compute Cloud (Amazon EC2),Amazon DynamoDB,Amazon Kinesis,,1,60,,
Một kiến trúc sư giải pháp đang thiết kế một giải pháp cần nhập dữ liệu theo thời gian thực. Họ đang xem xét Amazon Kinesis Data Firehose hoặc Amazon Kinesis Data Streams cho giải pháp này. Kiến trúc sư giải pháp nên chọn dịch vụ nào để đáp ứng yêu cầu nhập dữ liệu theo thời gian thực và tại sao? (Hãy nhớ rằng độ trễ dữ liệu thấp hơn có nghĩa là thời gian trọn vòng từ khi dữ liệu được nhập và có sẵn thấp hơn.),Multiple Choice,"Amazon Kinesis Data Firehose, vì nó có độ trễ thấp hơn so với Amazon Kinesis Data Streams","Amazon Kinesis Data Firehose, vì nó có độ trễ cao hơn so với Amazon Kinesis Data Streams","Amazon Kinesis Data Streams, vì nó có độ trễ thấp hơn so với Amazon Kinesis Data Firehose","Amazon Kinesis Data Streams, vì nó có độ trễ cao hơn so với Amazon Kinesis Data Firehose",,3,60,,
"Đúng hay Sai: Khi tạo các hồ dữ liệu (data lakes) để phân tích trên AWS, Amazon Simple Storage Service (Amazon S3) sẽ là một dịch vụ được ưu tiên. Người dùng có thể sử dụng dữ liệu trong một bucket S3 với một lớp xử lý hoặc trực quan hóa dữ liệu độc lập, chẳng hạn như Amazon QuickSight, Amazon Athena hoặc Amazon EMR.",Multiple Choice,Đúng,Sai,,,,1,60,,
"Một kiến trúc sư giải pháp đang thiết kế một giải pháp serverless có thể thực hiện các truy vấn Ngôn ngữ truy vấn có cấu trúc (SQL) trên nhiều đối tượng được lưu trữ trong Amazon Simple Storage Service (Amazon S3). Tất cả các đối tượng đều có cùng cấu trúc dữ liệu (lược đồ) và ở định dạng JSON. Dịch vụ nào sẽ giúp truy vấn dữ liệu dễ dàng hơn, ngoài việc cung cấp các khả năng serverless?",Multiple Choice,Amazon Athena,AWS Database Migration Service (AWS DMS),Amazon S3 Select,AWS Data Exchange,,1,60,,
"Đúng hay Sai: Khi kiến trúc một giải pháp có thể xử lý nhu cầu cao và các đợt tăng đột biến về mức sử dụng, Amazon CloudFront nên được sử dụng ở phía trước một bucket Amazon Simple Storage Service (Amazon S3). CloudFront có thể lưu vào bộ đệm dữ liệu được phân phối cho khách hàng, và nó cho phép khách hàng sử dụng các tên miền tùy chỉnh. Ngoài ra, CloudFront có thể phục vụ các chứng chỉ SSL tùy chỉnh được cấp bởi Amazon Certificate Manager (không tính thêm phí) và nó có thể cung cấp bảo vệ chống tấn công từ chối dịch vụ phân tán (DDoS) được cung cấp bởi AWS WAF và AWS Shield.",Multiple Choice,Đúng,Sai,,,,1,60,,
Lựa chọn nào sau đây bao gồm các phát biểu đúng cho cả sao chép liên vùng của Amazon Simple Storage Service (Amazon S3) và AWS Key Management Service (AWS KMS)?,Multiple Choice,"Để cấu hình sao chép liên vùng của Amazon S3, cả bucket nguồn và đích phải thuộc cùng một tài khoản AWS. Mã hóa phía máy chủ (SSE) có thể thực hiện được đối với các đối tượng được sao chép.","Để cấu hình sao chép liên vùng của Amazon S3, cả bucket nguồn và đích phải thuộc cùng một tài khoản AWS. Mã hóa phía máy chủ (SSE) không thể thực hiện được đối với các đối tượng được sao chép.","Để cấu hình sao chép liên vùng của Amazon S3, bucket nguồn và đích có thể thuộc các tài khoản AWS khác nhau. Mã hóa phía máy chủ (SSE) có thể thực hiện được đối với các đối tượng được sao chép.","Để cấu hình sao chép liên vùng của Amazon S3, bucket nguồn và đích có thể thuộc các tài khoản AWS khác nhau. Mã hóa phía máy chủ không thể thực hiện được đối với các đối tượng được sao chép.",,3,60,,
"Một kiến trúc sư giải pháp đang thiết kế một giải pháp lai. Giải pháp sử dụng các tài nguyên Amazon Virtual Private Cloud (Amazon VPC), chẳng hạn như Amazon Relational Database Service (Amazon RDS) và Amazon Elastic Compute Cloud (Amazon EC2). Nó cũng sử dụng các dịch vụ không nằm trong VPC, chẳng hạn như Amazon Simple Storage Service (Amazon S3) và AWS Systems Manager. Phát biểu nào về Amazon VPC và phạm vi của các dịch vụ AWS là đúng? (Chọn BA.)",Checkbox,"Amazon VPC cho phép người dùng toàn quyền kiểm soát môi trường mạng ảo của họ. Do đó, kiến trúc sư giải pháp có thể xác định các quy tắc tường lửa ở cấp độ mạng cho các tài nguyên dựa trên VPC.","Vì các bucket S3 không nằm trong VPC, khách hàng có thể dựa vào AWS để cấu hình các cơ chế bảo mật, chẳng hạn như quyền và chính sách bucket. Do đó, bảo mật được tự động áp dụng ở cấp độ dữ liệu vì cấp độ bảo mật này là trách nhiệm của AWS.","Các dịch vụ dựa trên VPC nằm trong một mạng con riêng tư yêu cầu các cấu hình cụ thể để cho phép truy cập internet, chẳng hạn như một cổng NAT và các bảng định tuyến.","Khi có thể, khách hàng nên tránh để các dịch vụ nằm trong VPC vì một cấu hình mạng sai có thể vô tình để lại cơ sở hạ tầng trong tình trạng không an toàn.","Các giải pháp AWS VPN có thể được cấu hình để thiết lập các kết nối an toàn giữa các mạng tại chỗ, văn phòng từ xa, thiết bị khách và mạng toàn cầu của AWS.","1,3,5",60,,
Phát biểu nào về AWS Storage Gateway là đúng? (Chọn BA.),Checkbox,AWS Storage Gateway là một bộ các dịch vụ lưu trữ đám mây lai cung cấp quyền truy cập tại chỗ vào bộ nhớ đám mây gần như không giới hạn.,"AWS Storage Gateway cung cấp bộ nhớ đám mây gần như không giới hạn cho người dùng và ứng dụng, với chi phí của phần cứng lưu trữ mới.","AWS Storage Gateway cung cấp quyền truy cập dữ liệu cho các ứng dụng tại chỗ trong khi tận dụng các khả năng linh hoạt, kinh tế và bảo mật của AWS Cloud.","AWS Storage Gateway chỉ giới hạn ở các ứng dụng tại chỗ, điều đó có nghĩa là nó không thể được sử dụng từ đám mây này sang đám mây khác.","AWS Storage Gateway giúp hỗ trợ các yêu cầu tuân thủ thông qua việc tích hợp với AWS Backup để quản lý việc sao lưu và phục hồi các ổ đĩa Volume Gateway, giúp đơn giản hóa việc quản lý sao lưu.","1,3,5",60,,
"Bộ dịch vụ AWS nào phù hợp NHẤT với danh mục “Lưu trữ đối tượng, tệp và khối” (có nghĩa là các dịch vụ dành riêng cho việc lưu trữ dữ liệu một cách bền vững)?",Multiple Choice,"AWS DataSync, AWS Snow Family","Amazon Simple Storage Service (Amazon S3), Amazon Elastic File System (Amazon EFS), Amazon Elastic Block Store (Amazon EBS), Amazon FSx","AWS Storage Gateway, AWS Snow Family","AWS Elastic Disaster Recovery, AWS Backup",,2,60,,
Đúng hay Sai: Amazon Simple Storage Service (Amazon S3) tốt hơn Amazon Elastic Block Store (Amazon EBS) vì nó được thiết kế để cung cấp mức độ bền vững dữ liệu cao hơn.,Multiple Choice,Đúng,Sai,,,,2,60,,
Một số lợi ích của việc sử dụng nhiều tài khoản AWS với AWS Organizations là gì? (Chọn BA.),Checkbox,Phân nhóm khối lượng công việc dựa trên mục đích kinh doanh và quyền sở hữu,Sử dụng các phương thức thanh toán khác nhau cho mỗi tài khoản,Hạn chế phạm vi tác động từ các sự kiện bất lợi,Phân phối hạn ngạch dịch vụ AWS và giới hạn tốc độ yêu cầu API,Có nhiều người dùng gốc của tài khoản với quyền truy cập không hạn chế trên mỗi tài khoản,"1,3,4",60,,
Đúng hay Sai: Một câu lệnh chính sách kiểm soát dịch vụ (SCP) với một lệnh từ chối rõ ràng (explicit deny) ngăn cản ngay cả người dùng gốc của tài khoản thực hiện các lệnh gọi API.,Multiple Choice,Đúng,Sai,,,,1,60,,
"Một kiến trúc sư giải pháp đang thiết kế một giải pháp cung cấp đăng nhập một lần (SSO) để xác thực vào các tài khoản AWS nằm trong AWS Organizations. Kiến trúc sư giải pháp có thể sử dụng dịch vụ AWS nào để triển khai liên kết danh tính với các nhà cung cấp danh tính hiện có, chẳng hạn như Microsoft Active Directory?",Multiple Choice,Người dùng AWS Identity and Access Management (IAM),Amazon CloudWatch,AWS IAM Identity Center (tiền thân là AWS Single Sign-On),AWS CloudTrail,,3,60,,
Phát biểu nào là phương pháp hay nhất cho môi trường đa tài khoản? (Chọn BA.),Checkbox,Bật cảnh báo thanh toán Amazon CloudWatch cho mỗi tài khoản và cấu hình các chính sách gắn thẻ trong AWS Organizations.,Cấp chính sách AdministratorAccess cho các nhà phát triển trong các tài khoản AWS phát triển của họ.,Ngăn chặn việc vô hiệu hóa cấu hình CloudTrail trong tài khoản dịch vụ dùng chung.,"Sử dụng xác thực đa yếu tố (MFA) cho người dùng trong việc xác thực tập trung, chẳng hạn như sử dụng AWS IAM Identity Center (tiền thân là AWS Single Sign-On).",Sử dụng lại mật khẩu để đơn giản và dễ truy cập.,"1,3,4",60,,
"Một kiến trúc sư giải pháp phải tạo ra các tiêu chuẩn quản trị được xác định rõ ràng cho một công ty có nhiều tài khoản AWS. Công ty cần ghi nhật ký hạ tầng tập trung cho tất cả các tài khoản AWS. Ngoài ra, giám đốc an ninh thông tin (CISO) của công ty muốn có một biện pháp áp dụng bộ ngắt mạch (circuit breaker) để dừng các hoạt động API của Amazon Elastic Compute Cloud (Amazon EC2) nếu các cảnh báo thanh toán cho thấy hoạt động đáng ngờ. Công ty dự định sử dụng AWS Organizations. Kịch bản kiến trúc nào mà kiến trúc sư giải pháp nên đề xuất để đáp ứng nhu cầu của công ty một cách hiệu quả NHẤT?",Multiple Choice,"Bật AWS CloudTrail cho tất cả các tài khoản trong AWS Organizations. Sử dụng Organizations để tập trung tất cả các nhật ký vào một bucket Amazon Simple Storage Service (Amazon S3). Với vai trò là bộ ngắt mạch, sử dụng các chính sách kiểm soát dịch vụ (SCP) có một lệnh từ chối rõ ràng đối với hoạt động API của Amazon EC2. Các SCP này sau đó có thể được áp dụng cho đơn vị tổ chức (OU) gốc khi cần thiết.",Bật AWS CloudTrail cho tất cả các tài khoản trong AWS Organizations. Sử dụng Organizations để tập trung tất cả các nhật ký vào một bucket Amazon Simple Storage Service (Amazon S3). Sử dụng các thiết bị xác thực đa yếu tố (MFA) cho mọi người dùng trong AWS IAM Identity Center (tiền thân là AWS Single Sign-On).,"Bật AWS CloudTrail chỉ cho các tài khoản sản xuất trong AWS Organizations. Sử dụng Organizations để tập trung nhật ký vào một bucket Amazon Simple Storage Service (Amazon S3). Để đăng nhập một lần, sử dụng AWS IAM Identity Center (tiền thân là AWS Single Sign-ON).","Bật AWS CloudTrail cho tất cả các tài khoản trong AWS Organizations. Sử dụng Organizations để tập trung nhật ký vào một bucket Amazon Simple Storage Service (Amazon S3). Với vai trò là bộ ngắt mạch, sử dụng các chính sách AWS Identity and Access Management (IAM) trên mỗi tài khoản có một lệnh từ chối rõ ràng đối với hoạt động API của Amazon EC2. Các chính sách IAM sau đó có thể được áp dụng cho đơn vị tổ chức (OU) gốc khi cần thiết.",,1,60,,
